course_id,title,job_role,skills_required,sub_skills_required,description
1,Explore Prototyping For Designer: Adobe,UI/UX Designer,"Prototyping, Wireframing","Figma, Adobe XD","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Wireframing. Sub-skills required: Figma, Adobe XD."
2,Explore Bug For Tester: Bugzilla,Tester,"Testing Techniques, Bug Tracking","Bugzilla, Selenium","This course covers essential skills for the role of Tester. Skills required: Testing Techniques, Bug Tracking. Sub-skills required: Bugzilla, Selenium."
3,Explore Css For Developer: Sass,Frontend Developer,"JavaScript, CSS","Webpack, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript, CSS. Sub-skills required: Webpack, Sass."
4,A Guide To Automation For DevOps: Jenkins,DevOps,"Automation, Continuous Deployment",Jenkins,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Deployment. Sub-skills required: Jenkins."
5,Advanced Techniques In Design For Designer: Adobe,UI/UX Designer,Design Thinking,Adobe XD,This course covers essential skills for the role of UI/UX Designer. Skills required: Design Thinking. Sub-skills required: Adobe XD.
6,Learn Javascript For Developer: Bootstrap,Web Developer,JavaScript,"Vue.js, Bootstrap","This course covers essential skills for the role of Web Developer. Skills required: JavaScript. Sub-skills required: Vue.js, Bootstrap."
7,Explore Design For Engineer: Docker,Software Engineer,"Software Design, Programming","Git, Docker","This course covers essential skills for the role of Software Engineer. Skills required: Software Design, Programming. Sub-skills required: Git, Docker."
8,A Guide To Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration","Docker, Jenkins","This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker, Jenkins."
9,Mastering Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration",Docker,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker."
10,Learn Techniques For Tester: Testrail,Tester,Testing Techniques,TestRail,This course covers essential skills for the role of Tester. Skills required: Testing Techniques. Sub-skills required: TestRail.
11,Learn Management For Admin: Scripting,Admin,Network Management,Scripting,This course covers essential skills for the role of Admin. Skills required: Network Management. Sub-skills required: Scripting.
12,Mastering Bug Tracking For Tester: Bugzilla,Tester,Bug Tracking,"Bugzilla, TestRail","This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla, TestRail."
13,Explore Continuous For DevOps: Jenkins,DevOps,Continuous Integration,Jenkins,This course covers essential skills for the role of DevOps. Skills required: Continuous Integration. Sub-skills required: Jenkins.
14,Learn Excel For Analyst: Matplotlib,Data Analyst,Excel,Matplotlib,This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Matplotlib.
15,Mastering Bug For Tester: Bugzilla,Tester,Bug Tracking,Bugzilla,This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla.
16,Explore Agile For Master: Confluence,Scrum Master,Agile Methodology,"Stand-ups, Confluence","This course covers essential skills for the role of Scrum Master. Skills required: Agile Methodology. Sub-skills required: Stand-ups, Confluence."
17,Explore Excel For Analyst: Tableau,Data Analyst,Excel,Tableau,This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Tableau.
18,Understanding Sql For Data: Kafka,Data Engineer,SQL,Kafka,This course covers essential skills for the role of Data Engineer. Skills required: SQL. Sub-skills required: Kafka.
19,Learn Automation For DevOps: Docker,DevOps,"Automation, Continuous Integration","Jenkins, Docker","This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Jenkins, Docker."
20,Mastering Data For Analyst: Matplotlib,Data Analyst,"SQL, Data Visualization",Matplotlib,"This course covers essential skills for the role of Data Analyst. Skills required: SQL, Data Visualization. Sub-skills required: Matplotlib."
21,Learn Prototyping For Designer: Figma,UI/UX Designer,Prototyping,Figma,This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping. Sub-skills required: Figma.
22,Mastering Practices For Master: Confluence,Scrum Master,Scrum Practices,"Confluence, Retrospectives","This course covers essential skills for the role of Scrum Master. Skills required: Scrum Practices. Sub-skills required: Confluence, Retrospectives."
23,Learn Administration For Admin: Networking,Admin,"System Administration, Network Management","Scripting, Networking","This course covers essential skills for the role of Admin. Skills required: System Administration, Network Management. Sub-skills required: Scripting, Networking."
24,Mastering Management For Manager: Trello,Project Manager,"Project Planning, Risk Management",Trello,"This course covers essential skills for the role of Project Manager. Skills required: Project Planning, Risk Management. Sub-skills required: Trello."
25,Understanding Gathering For Analyst: Jira,Business Analyst,Requirement Gathering,"JIRA, SQL","This course covers essential skills for the role of Business Analyst. Skills required: Requirement Gathering. Sub-skills required: JIRA, SQL."
26,Understanding Big For Data: Apache,Data Engineer,"ETL, Big Data",Apache Spark,"This course covers essential skills for the role of Data Engineer. Skills required: ETL, Big Data. Sub-skills required: Apache Spark."
27,Advanced Techniques In Agile For Master: Stand,Scrum Master,"Agile Methodology, Scrum Practices",Stand-ups,"This course covers essential skills for the role of Scrum Master. Skills required: Agile Methodology, Scrum Practices. Sub-skills required: Stand-ups."
28,A Guide To Data For Analyst: Seaborn,Data Analyst,"Data Visualization, Excel","Tableau, Seaborn","This course covers essential skills for the role of Data Analyst. Skills required: Data Visualization, Excel. Sub-skills required: Tableau, Seaborn."
29,Advanced Techniques In Html For Developer: Js,Frontend Developer,HTML,"Vue.js, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: HTML. Sub-skills required: Vue.js, Sass."
30,A Guide To Agile For Scrum Master: Retrospectives,Scrum Master,"Scrum Practices, Agile Methodology",Retrospectives,"This course covers essential skills for the role of Scrum Master. Skills required: Scrum Practices, Agile Methodology. Sub-skills required: Retrospectives."
31,Advanced Techniques In Bug For Tester: Bugzilla,Tester,Bug Tracking,"Bugzilla, JUnit","This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla, JUnit."
32,Advanced Techniques In Gathering For Analyst: Confluence,Business Analyst,"Requirement Gathering, Reporting",Confluence,"This course covers essential skills for the role of Business Analyst. Skills required: Requirement Gathering, Reporting. Sub-skills required: Confluence."
33,Learn Design For Engineer: Git,Software Engineer,"Testing, Software Design",Git,"This course covers essential skills for the role of Software Engineer. Skills required: Testing, Software Design. Sub-skills required: Git."
34,Explore Planning For Manager: Microsoft Office,Project Manager,Project Planning,"Trello, MS Project","This course covers essential skills for the role of Project Manager. Skills required: Project Planning. Sub-skills required: Trello, MS Project."
35,Advanced Techniques In Automation For Tester: Bugzilla,Tester,"Testing Techniques, Automation",Bugzilla,"This course covers essential skills for the role of Tester. Skills required: Testing Techniques, Automation. Sub-skills required: Bugzilla."
36,Advanced Techniques In Big Data : Apache Spark,Data Engineer,"Big Data, ETL","Kafka, Apache Spark","This course covers essential skills for the role of Data Engineer. Skills required: Big Data, ETL. Sub-skills required: Kafka, Apache Spark."
37,Explore CSS For Developer: Webpack,Frontend Developer,"JavaScript, CSS",Webpack,"This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript, CSS. Sub-skills required: Webpack."
38,Advanced Techniques In Excel For Analyst: BI,Data Analyst,"SQL, Excel",Power BI,"This course covers essential skills for the role of Data Analyst. Skills required: SQL, Excel. Sub-skills required: Power BI."
39,Understanding Administration For Admin: Scripting,Admin,System Administration,"Scripting, Windows Server","This course covers essential skills for the role of Admin. Skills required: System Administration. Sub-skills required: Scripting, Windows Server."
40,Understanding Excel For Analyst: Power BI,Data Analyst,Excel,"Power BI, Matplotlib","This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Power BI, Matplotlib."
41,Mastering Prototyping For Designer: Adobe,UI/UX Designer,"Prototyping, Wireframing","Adobe XD, InVision","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Wireframing. Sub-skills required: Adobe XD, InVision."
42,A Guide To Design For Designer: Adobe,UI/UX Designer,"Prototyping, Design Thinking","Adobe XD, Figma","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Design Thinking. Sub-skills required: Adobe XD, Figma."
43,Learn Data For Analyst: Tableau,Data Analyst,"Data Visualization, SQL",Tableau,"This course covers essential skills for the role of Data Analyst. Skills required: Data Visualization, SQL. Sub-skills required: Tableau."
44,Explore Big For Data: Hadoop,Data Engineer,"Big Data, ETL","Kafka, Hadoop","This course covers essential skills for the role of Data Engineer. Skills required: Big Data, ETL. Sub-skills required: Kafka, Hadoop."
45,Mastering Javascript For Developer: SaaS,Frontend Developer,JavaScript,"Webpack, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript. Sub-skills required: Webpack, Sass."
46,A Guide To API For Backend: Django,Backend Developer,"API Development, Node.js","Django, SQL Server","This course covers essential skills for the role of Backend Developer. Skills required: API Development, Node.js. Sub-skills required: Django, SQL Server."
47,A Guide To Excel For Analyst: Matplotlib,Data Analyst,Excel,"Matplotlib, Tableau","This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Matplotlib, Tableau."
48,Learn Administration For Admin: Scripting,Admin,"Network Management, System Administration","Windows Server, Scripting","This course covers essential skills for the role of Admin. Skills required: Network Management, System Administration. Sub-skills required: Windows Server, Scripting."
49,Learn Continuous For DevOps: Docker,DevOps,"Continuous Integration, Continuous Deployment","Kubernetes, Docker","This course covers essential skills for the role of DevOps. Skills required: Continuous Integration, Continuous Deployment. Sub-skills required: Kubernetes, Docker."
50,Learn Management For Manager: Charts,Project Manager,"Project Planning, Risk Management",Gantt Charts,"This course covers essential skills for the role of Project Manager. Skills required: Project Planning, Risk Management. Sub-skills required: Gantt Charts."
